Date,When,What,Where,Note
05/12/2026,4:00 PM,Check-in,Litchfield Resort,Arrival / settle in
05/12/2026,6:00 PM,<b>Kickoff dinner</b>,TPC Myrtle Beach,Bring buy-in cash
